Date,Cluster
20170808,0
20170810,0
20170811,1
20170813,1
20170820,0
20170821,1
20170825,1
20170902,1
20170905,1
20170910,1
20170912,1
20170919,0
20171001,1
20171007,1
20171009,1
20171014,1
20171028,0
20171029,1
20171030,1
20171110,0
20171111,0
20171112,0
20171114,0
20171121,1
20171204,0
20171209,0
20171211,0
20171217,0
20171229,0
20171230,0
20180101,0
20180107,0
20180109,0
20180112,0
20180113,0
20180114,0
20180115,0
20180116,0
20180126,0
20180127,0
20180128,0
20180129,0
20180130,0
20180204,0
20180205,0
20180206,0
20180207,0
20180208,0
20180209,0
20180210,0
20180211,0
20180212,0
20180213,0
20180214,0
20180215,0
20180219,0
20180223,0
20180224,0
20180225,0
20180303,0
20180304,0
20180311,0
20180312,0
20180316,0
20180320,0
20180326,0
20180327,1
20180330,1
20180406,0
20180407,0
20180408,1
20180410,0
20180413,0
20180414,1
20180416,0
20180417,0
20180418,0
20180419,0
20180420,1
20180424,1
20180430,0
20180507,0
20180508,0
20180510,1
20180518,0
20180522,1
20180526,1
20180528,1
20180529,1
20180601,1
20180604,1
20180620,0
20180621,1
20180622,0
20180623,1
20180626,1
20180627,0
20180630,1
20180707,1
20180713,1
20180719,1
20180724,1
20180727,1
20180729,1
20180802,1
20180803,1
20180809,1
20180810,1
20180811,1
20180813,1
20180816,1
20180818,1
20180819,1
20180820,1
20180823,1
20180826,0
20180920,0
20180922,1
20180923,1
20180925,1
20181001,1
20181006,1
20181007,1
20181008,1
20181009,1
20181017,1
20181019,0
20181021,1
20181022,1
20181023,1
20181026,1
20181112,1
20181116,1
20181120,0
20181121,0
20181123,0
20181124,0
20181126,0
20181127,0
20181128,0
20181204,0
20181211,0
20181212,0
20181219,0
20181220,0
20181221,0
20181222,0
20181225,0
20181226,0
20181227,0
20190101,0
20190102,0
20190106,1
20190107,1
20190108,1
20190109,1
20190111,1
20190113,1
20190114,0
20190115,0
20190117,0
20190118,1
20190129,1
20190215,1
20190219,1
20190307,1
20190318,1
20190319,1
20190321,1
20190326,1
20190327,1
20190328,1
20190404,1
20190405,1
20190407,1
20190423,1
20190505,1
20190507,1
20190512,0
20190513,0
20190514,0
20190516,0
20190517,0
20190518,0
20190519,0
20190520,0
20190522,0
20190527,0
20190528,0
20190529,0
20190618,0
20190619,0
20190621,0
20190622,0
20190624,1
20190626,0
20190628,0
20190629,0
20190701,0
20190702,0
20190703,0
20190704,0
20190711,0
20190712,0
20190714,0
20190715,0
20190716,0
20190717,0
20190718,0
20190720,0
20190721,0
20190722,0
20190724,0
20190725,0
20190727,0
20190729,0
20190730,0
20190731,0
20190801,0
20190806,0
20190807,0
20190808,0
20190812,0
20190813,0
20190814,0
20190815,0
20190816,0
20190817,0
20190821,0
20190823,0
20190824,0
20190825,0
20190827,0
20190905,1
20190918,0
20190922,1
20190923,0
20190924,0
20190926,0
20190929,0
20191001,0
20191016,0
20191018,0
20191019,1
20191021,1
20191022,1
20191023,1
20191026,0
20191030,1
20191105,1
20191124,0
20191125,0
20191126,0
20191220,0
20191222,1
20191224,1
20200128,1
20200219,1
20200302,1
20200306,1
20200313,0
20200315,0
20200316,0
20200317,0
20200319,0
20200325,0
20200427,1
20200510,1
20200617,1
20200619,0
20200726,0
20200804,1
20200807,1
20200814,1
20200919,1
20200922,1
20201025,1
20201027,1
20201105,1
20201106,1
20201110,1
20201112,1
20201113,1
20201120,1
20201227,0
20201228,0
20201229,0
20201230,0
20210102,0
20210103,0
20210104,0
20210105,0
20210106,0
20210108,0
20210110,0
20210111,0
20210112,0
20210113,0
20210114,0
20210115,0
20210116,0
20210117,0
20210118,0
20210119,0
20210120,0
20210121,0
20210122,0
20210123,0
20210124,0
20210125,0
20210129,0
20210130,0
20210131,0
20210201,0
20210202,0
20210209,0
20210212,1
20210216,0
20210223,0
20210224,0
20210226,0
20210302,0
20210307,0
20210319,0
20210323,0
20210418,0
20210420,0
20210423,0
20210424,0
20210425,0
20210426,0
20210427,0
20210428,0
20210517,0
20210518,0
20210519,0
20210524,0
20210525,0
20210528,1
20210530,0
20210606,0
20210608,0
20210613,0
20210620,0
20210622,0
20210706,0
20210907,0
20210913,0
20210920,0
20210921,0
20211204,0
20211207,0
20211224,0
20211225,0
20211226,0
20211227,0
20211228,0
20220118,1
20220122,0
20220124,0
20220125,0
20220221,0
20220222,0
20220316,1
20220320,0
20220321,1
20220322,0
20220329,1
20220402,1
20220403,1
20220407,1
20220408,1
20220412,1
20220418,0
20220422,1
20220424,1
20220425,1
20220426,1
20220504,1
20220507,1
20220509,0
20220514,1
20220515,1
20220517,1
20220520,1
20220523,1
20220524,0
20220528,1
20220529,1
20220530,1
20220531,1
20220602,1
20220603,1
20220606,1
20220609,1
20220611,1
20220613,1
20220615,0
20220617,0
20220619,0
20220620,0
20220621,0
20220626,1
20220627,1
20220628,0
20220629,1
20220630,1
20220701,1
20220702,1
20220709,1
20220717,1
20220721,0
20220722,0
20220724,1
20220729,1
20220801,1
20220806,1
20220807,1
20220808,1
20220813,1
20220817,1
20220818,1
20220820,1
20220825,1
20220826,1
20220829,1
20220830,1
20220902,1
20220903,1
20220905,1
20220906,1
20220907,1
20220908,1
20220909,1
20220912,1
20220915,1
20220916,1
20220917,1
20220918,1
20220919,1
20220920,1
20220921,1
20220922,1
20220923,0
20220925,1
20220926,1
20220927,1
20220928,1
20220929,1
20220930,1
20221001,1
20221002,1
20221003,1
20221004,1
20221005,1
20221006,1
20221008,1
20221010,1
20221011,1
20221013,1
20221014,1
20221015,1
20221018,1
20221020,0
20221026,1
20221027,1
20221028,1
20221029,1
20221030,1
20221101,1
20221102,1
20221104,1
20221105,1
20221106,1
20221107,1
20221126,1
20221127,1
